#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame0.jpg,0,,0.880418539,0.8806681633,0.880418539,0.8806681633,0.9150001534,100,33.186135552,0.7,0,0
frame1.jpg,0,,0.7669911385,0.7672221661,1.6474096775,1.6478903294,0.9150001534,100,33.186135552,0.705,0,0
frame2.jpg,0,,0.8368868828,0.8370959759,2.4842965603,2.4849863052,0.9150001534,100,33.186135552,0.71,0,0
frame3.jpg,0,,0.7633798122,0.763628006,3.2476763725,3.2486143112,0.9150001534,100,33.186135552,0.715,0,0
frame4.jpg,0,,0.7599029541,0.7601482868,4.0075793266,4.008762598,0.9150001534,100,33.186135552,0.72,0,0
frame5.jpg,0,,0.7832975388,0.7835268974,4.7908768654,4.7922894955,0.9150001534,100,33.186135552,0.725,0,0
frame6.jpg,0,,0.7814238071,0.7816572189,5.5723006725,5.5739467144,0.9150001534,100,33.186135552,0.73,2,2
frame7.jpg,0,,0.7447037697,0.7449314594,6.3170044422,6.3188781738,0.9150001534,100,33.186135552,0.735,4,4
frame8.jpg,0,,0.7756431103,0.7758662701,7.0926475525,7.0947444439,0.9150001534,100,33.186135552,0.74,7,7
frame9.jpg,0,,0.7505004406,0.7507457733,7.8431479931,7.8454902172,0.9150001534,100,33.186135552,0.745,6,6
frame10.jpg,0,,0.779081583,0.7793121338,8.6222295761,8.624802351,0.9150001534,100,33.186135552,0.75,8,8
frame11.jpg,0,,0.7592916489,0.7594916821,9.381521225,9.3842940331,0.9150001534,100,33.186135552,0.755,15,15
frame12.jpg,0,,0.77561903,0.7758526802,10.157140255,10.1601467133,0.9150001534,100,33.186135552,0.76,12,11
frame13.jpg,0,,0.7347638607,0.7349963188,10.8919041157,10.8951430321,0.9150001534,100,33.186135552,0.765,6,7
frame14.jpg,0,,0.7725749016,0.7728090286,11.6644790173,11.6679520607,0.9150001534,100,33.186135552,0.77,9,8
frame15.jpg,0,,0.7334399223,0.733673811,12.3979189396,12.4016258717,0.9150001534,100,33.186135552,0.775,7,7
frame16.jpg,0,,0.7393522263,0.739554882,13.1372711658,13.1411807537,0.9150001534,100,33.186135552,0.78,5,6
frame17.jpg,0,,0.8037340641,0.8039665222,13.94100523,13.9451472759,0.9150001534,100,33.186135552,0.785,3,3
frame18.jpg,0,,0.7876181602,0.7878482342,14.7286233902,14.7329955101,0.9150001534,100,33.186135552,0.79,3,3
frame19.jpg,0,,0.7697732449,0.7700307369,15.4983966351,15.503026247,0.9150001534,100,33.186135552,0.795,4,4
frame20.jpg,0,,0.7478859425,0.7481253147,16.2462825775,16.2511515617,0.9150001534,100,33.186135552,0.8,1,1
frame21.jpg,0,,0.7571246624,0.7573564053,17.0034072399,17.008507967,0.9150001534,100,33.186135552,0.805,2,2
frame22.jpg,0,,0.7464630604,0.7466890812,17.7498703003,17.7551970482,0.9150001534,100,33.186135552,0.81,2,1
frame23.jpg,0,,0.7555961609,0.7558252811,18.5054664612,18.5110223293,0.9150001534,100,33.186135552,0.815,0,1
frame24.jpg,0,,0.7607181072,0.76100564,19.2661845684,19.2720279694,0.9150001534,100,33.186135552,0.82,5,4
frame25.jpg,0,,0.7953765392,0.7956457138,20.0615611076,20.0676736832,0.9150001534,100,33.186135552,0.825,1,2
frame26.jpg,0,,0.7551043034,0.7553360462,20.816665411,20.8230097294,0.9150001534,100,33.186135552,0.83,3,2
frame27.jpg,0,,0.7343361378,0.7345690727,21.5510015488,21.5575788021,0.9150001534,100,33.186135552,0.835,1,2
frame28.jpg,0,,0.7664616108,0.7666933537,22.3174631596,22.3242721558,0.9150001534,100,33.186135552,0.84,3,3
frame29.jpg,0,,0.7511126995,0.7513420582,23.0685758591,23.0756142139,0.9150001534,100,33.186135552,0.845,4,4
frame30.jpg,0,,0.7857995033,0.7860281467,23.8543753624,23.8616423607,0.9150001534,100,33.186135552,0.85,0,0
frame31.jpg,0,,0.8086414337,0.808868885,24.6630167961,24.6705112457,0.9150001534,100,33.186135552,0.855,1,1
frame32.jpg,0,,0.7654955387,0.76572299,25.4285123348,25.4362342358,0.9150001534,100,33.186135552,0.86,1,1
frame33.jpg,0,,0.7676334381,0.7678673267,26.1961457729,26.2041015625,0.9150001534,100,33.186135552,0.865,4,4
frame34.jpg,0,,0.771733284,0.7719893456,26.9678790569,26.9760909081,0.9150001534,100,33.186135552,0.87,2,2
frame35.jpg,0,,0.7506723404,0.7509047985,27.7185513973,27.7269957066,0.9150001534,100,33.186135552,0.875,3,3
frame36.jpg,0,,0.7289817333,0.7292230129,28.4475331306,28.4562187195,0.9150001534,100,33.186135552,0.88,1,1
frame37.jpg,0,,0.7561922073,0.7564482689,29.203725338,29.2126669884,0.9150001534,100,33.186135552,0.885,3,3
frame38.jpg,0,,0.7386069298,0.7388386726,29.9423322678,29.951505661,0.9150001534,100,33.186135552,0.89,4,4
frame39.jpg,0,,0.7911851406,0.7914152145,30.7335174084,30.7429208755,0.9150001534,100,33.186135552,0.895,6,6
frame40.jpg,0,,0.7635185719,0.7637329102,31.4970359802,31.5066537857,0.9150001534,100,33.186135552,0.9,3,3
frame41.jpg,0,,0.7746794224,0.7749071121,32.2717154026,32.2815608978,0.9150001534,100,33.186135552,0.905,6,6
frame42.jpg,0,,0.7459082603,0.746142149,33.0176236629,33.0277030468,0.9150001534,100,33.186135552,0.91,1,0
frame43.jpg,0,,0.7397542,0.7399842739,33.7573778629,33.7676873207,0.9150001534,100,33.186135552,0.915,3,4
frame44.jpg,0,,0.7508699894,0.7510986328,34.5082478523,34.5187859535,0.9150001534,100,33.186135552,0.92,1,1
frame45.jpg,0,,0.8181142807,0.818351984,35.326362133,35.3371379375,0.9150001534,100,33.186135552,0.925,5,4
frame46.jpg,0,,0.7457687855,0.7460005283,36.0721309185,36.0831384659,0.9150001534,100,33.186135552,0.93,4,5
frame47.jpg,0,,0.7523498535,0.7526586056,36.824480772,36.8357970715,0.9150001534,100,33.186135552,0.935,4,2
frame48.jpg,0,,0.7602524757,0.7604944706,37.5847332478,37.5962915421,0.9150001534,100,33.186135552,0.94,4,6
frame49.jpg,0,,0.7572197914,0.7574522495,38.3419530392,38.3537437916,0.9150001534,100,33.186135552,0.945,3,3
frame50.jpg,0,,0.7792072296,0.7794396877,39.1211602688,39.1331834793,0.9150001534,100,33.186135552,0.95,7,7
frame51.jpg,0,,0.7334985733,0.7338097095,39.8546588421,39.8669931889,0.9150001534,100,33.186135552,0.955,3,3
frame52.jpg,0,,0.7296569347,0.7298893929,40.5843157768,40.5968825817,0.9150001534,100,33.186135552,0.96,6,5
frame53.jpg,0,,0.7583019733,0.7585327625,41.3426177502,41.3554153442,0.9150001534,100,33.186135552,0.965,8,9
frame54.jpg,0,,0.7509610653,0.7511906624,42.0935788155,42.1066060066,0.9150001534,100,33.186135552,0.97,1,1
frame55.jpg,0,,0.7478466034,0.7480757236,42.8414254189,42.8546817303,0.9150001534,100,33.186135552,0.975,3,2
frame56.jpg,0,,0.7564189434,0.7566483021,43.5978443623,43.6113300323,0.9150001534,100,33.186135552,0.98,6,7
frame57.jpg,0,,0.742868185,0.7430830002,44.3407125473,44.3544130325,0.9150001534,100,33.186135552,0.985,2,2
frame58.jpg,0,,0.7439210415,0.7441551685,45.0846335888,45.0985682011,0.9150001534,100,33.186135552,0.99,5,5
frame59.jpg,0,,0.7528131008,0.7530474663,45.8374466896,45.8516156673,0.9150001534,100,33.186135552,0.995,6,6
frame60.jpg,0,,0.7657809258,0.7660102844,46.6032276154,46.6176259518,0.9150001534,100,33.186135552,1,6,6
frame61.jpg,0,,0.7546656132,0.7548956871,47.3578932285,47.3725216389,0.9150001534,100,33.186135552,1.005,9,8
frame62.jpg,0,,0.7371885777,0.7374162674,48.0950818062,48.1099379063,0.9150001534,100,33.186135552,1.01,20,18
frame63.jpg,0,,0.7532372475,0.7534711361,48.8483190536,48.8634090424,0.9150001534,100,33.186135552,1.015,18,19
frame64.jpg,0,,0.7734441757,0.7736480236,49.6217632294,49.637057066,0.9150001534,100,33.186135552,1.02,22,22
frame65.jpg,0,,0.758067131,0.7582957745,50.3798303604,50.3953528404,0.9150001534,100,33.186135552,1.025,30,30
frame66.jpg,0,,0.7749171257,0.7751522064,51.1547474861,51.1705050468,0.9150001534,100,33.186135552,1.03,35,33
frame67.jpg,0,,0.7614703178,0.7617070675,51.916217804,51.9322121143,0.9150001534,100,33.186135552,1.035,23,25
frame68.jpg,0,,0.7383205891,0.7385542393,52.654538393,52.6707663536,0.9150001534,100,33.186135552,1.04,35,34
frame69.jpg,0,,0.7709760666,0.7712097168,53.4255144596,53.4419760704,0.9150001534,100,33.186135552,1.045,37,36
frame70.jpg,0,,0.750497818,0.7507255077,54.1760122776,54.1927015781,0.9150001534,100,33.186135552,1.05,32,31
frame71.jpg,0,,0.829513073,0.8297460079,55.0055253506,55.0224475861,0.9150001534,100,33.186135552,1.055,45,42
frame72.jpg,0,,0.7651212215,0.7653546333,55.7706465721,55.7878022194,0.9150001534,100,33.186135552,1.06,53,56
frame73.jpg,0,,0.7726759911,0.7729067802,56.5433225632,56.5607089996,0.9150001534,100,33.186135552,1.065,70,72
frame74.jpg,0,,0.755951643,0.7561821938,57.2992742062,57.3168911934,0.9150001534,100,33.186135552,1.07,64,60
frame75.jpg,0,,0.7646985054,0.7649319172,58.0639727116,58.0818231106,0.9150001534,100,33.186135552,1.075,64,61
frame76.jpg,0,,0.7902917862,0.7905218601,58.8542644978,58.8723449707,0.9150001534,100,33.186135552,1.08,98,99
frame77.jpg,0,,0.7510869503,0.75131464,59.6053514481,59.6236596107,0.9150001534,100,33.186135552,1.085,94,91
frame78.jpg,0,,0.7882707119,0.7885081768,60.39362216,60.4121677876,0.9150001534,100,33.186135552,1.09,115,114
frame79.jpg,0,,0.7469050884,0.7471385002,61.1405272484,61.1593062878,0.9150001534,100,33.186135552,1.095,115,112
frame80.jpg,0,,0.7503218651,0.7505514622,61.8908491135,61.9098577499,0.9150001534,100,33.186135552,1.1,95,95
frame81.jpg,0,,0.7506902218,0.7509229183,62.6415393353,62.6607806683,0.9150001534,100,33.186135552,1.105,101,100
frame82.jpg,0,,0.7468066216,0.7470393181,63.3883459568,63.4078199863,0.9150001534,100,33.186135552,1.11,97,99
frame83.jpg,0,,0.7380969524,0.7383294106,64.1264429092,64.1461493969,0.9150001534,100,33.186135552,1.115,93,100
frame84.jpg,0,,0.7439920902,0.744222641,64.8704349995,64.8903720379,0.9150001534,100,33.186135552,1.12,86,84
frame85.jpg,0,,0.7517018318,0.751935482,65.6221368313,65.6423075199,0.9150001534,100,33.186135552,1.125,90,86
