#filename,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame0.jpg,0.0870168686,0.0870708466,0.0870168686,0.0870708466,9.9854794994,100,81.1080196604,0.07,3,3
frame1.jpg,0.0826127529,0.082665062,0.1696296215,0.1697359085,,100,,0.0705,2,2
frame2.jpg,0.0693990707,0.0694571018,0.2390286922,0.2391930103,,100,,0.071,0,0
frame3.jpg,0.0829931736,0.0830458641,0.3220218658,0.3222388744,,100,,0.0715,3,3
frame4.jpg,0.0661981106,0.066256094,0.3882199764,0.3884949684,,100,,0.072,1,1
frame5.jpg,0.0839316368,0.0839879513,0.4721516132,0.4724829197,,100,,0.0725,8,6
frame6.jpg,0.0672935963,0.067345953,0.5394452095,0.5398288727,,100,,0.073,0,2
frame7.jpg,0.0855335712,0.0855927467,0.6249787807,0.6254216194,,100,,0.0735,4,4
frame8.jpg,0.0714131355,0.0714810371,0.6963919163,0.6969026566,,100,,0.074,3,2
frame9.jpg,0.0825715542,0.0826243877,0.7789634705,0.7795270443,,100,,0.0745,3,3
frame10.jpg,0.0713167667,0.0713726997,0.8502802372,0.850899744,,100,,0.075,3,4
frame11.jpg,0.0854371071,0.0854946613,0.9357173443,0.9363944054,,100,,0.0755,5,4
frame12.jpg,0.0713351727,0.0713875294,1.0070525169,1.0077819347,,100,,0.076,2,2
frame13.jpg,0.0817349911,0.0817862511,1.088787508,1.0895681858,,100,,0.0765,6,7
frame14.jpg,0.0723867893,0.0724471092,1.1611742973,1.162015295,,100,,0.077,6,6
frame15.jpg,0.0939951897,0.0940536022,1.255169487,1.2560688972,,100,,0.0775,4,4
frame16.jpg,0.076799345,0.0768599033,1.331968832,1.3329288006,,100,,0.078,7,6
frame17.jpg,0.0828457832,0.0829048634,1.4148146152,1.4158336639,,100,,0.0785,10,6
frame18.jpg,0.073744297,0.0738076687,1.4885589123,1.4896413326,,100,,0.079,7,10
frame19.jpg,0.0850923061,0.0851481438,1.5736512184,1.5747894764,,100,,0.0795,9,9
frame20.jpg,0.071564436,0.0716237545,1.6452156544,1.6464132309,,100,,0.08,7,8
frame21.jpg,0.0866690159,0.0867209911,1.7318846703,1.733134222,,100,,0.0805,7,8
frame22.jpg,0.0722385406,0.0722988605,1.8041232109,1.8054330826,,100,,0.081,14,9
frame23.jpg,0.0907516956,0.0908069134,1.8948749065,1.896239996,,100,,0.0815,10,9
frame24.jpg,0.0733526707,0.0734138966,1.9682275772,1.9696538925,,100,,0.082,16,12
frame25.jpg,0.0838721275,0.0839248657,2.0520997047,2.0535787582,,100,,0.0825,29,26
frame26.jpg,0.0724960327,0.072549057,2.1245957375,2.1261278152,,100,,0.083,23,26
frame27.jpg,0.0861207008,0.0861731052,2.2107164383,2.2123009205,,100,,0.0835,42,30
frame28.jpg,0.0703630924,0.0704264164,2.2810795307,2.2827273369,,100,,0.084,44,51
frame29.jpg,0.0864364624,0.0864895821,2.3675159931,2.3692169189,,100,,0.0845,37,41
frame30.jpg,0.0768019676,0.0768604279,2.4443179607,2.4460773468,,100,,0.085,42,31
frame31.jpg,0.0876086235,0.0876704693,2.5319265842,2.5337478161,,100,,0.0855,33,40
frame32.jpg,0.0702954292,0.0703554153,2.6022220135,2.6041032314,,100,,0.086,48,47
frame33.jpg,0.0897249699,0.089777565,2.6919469833,2.6938807964,,100,,0.0865,31,37
frame34.jpg,0.0733889103,0.0734454155,2.7653358936,2.7673262119,,100,,0.087,40,40
frame35.jpg,0.0851551056,0.0852100372,2.8504909992,2.8525362492,,100,,0.0875,30,30
frame36.jpg,0.0724869728,0.0725492954,2.922977972,2.9250855446,,100,,0.088,28,31
frame37.jpg,0.0891269684,0.0891823292,3.0121049404,3.0142678738,,100,,0.0885,22,20
frame38.jpg,0.0720981598,0.072154808,3.0842031002,3.0864226818,,100,,0.089,29,33
frame39.jpg,0.0863762379,0.086435461,3.1705793381,3.1728581429,,100,,0.0895,10,14
frame40.jpg,0.0732806683,0.073341465,3.2438600063,3.2461996078,,100,,0.09,23,18
frame41.jpg,0.0876749516,0.0877261639,3.3315349579,3.3339257717,,100,,0.0905,18,19
frame42.jpg,0.0739904881,0.0740468979,3.4055254459,3.4079726696,,100,,0.091,25,20
frame43.jpg,0.0867235661,0.0867832184,3.492249012,3.494755888,,100,,0.0915,17,19
frame44.jpg,0.0870179176,0.0870714664,3.5792669296,3.5818273544,,100,,0.092,23,24
frame45.jpg,0.0869538307,0.087016964,3.6662207603,3.6688443184,,100,,0.0925,19,16
frame46.jpg,0.0755288601,0.0755842209,3.7417496204,3.7444285393,,100,,0.093,19,21
frame47.jpg,0.0865562916,0.0866260052,3.828305912,3.8310545444,,100,,0.0935,15,17
frame48.jpg,0.0750496864,0.0751152039,3.9033555984,3.9061697483,,100,,0.094,24,22
frame49.jpg,0.0857507706,0.085806942,3.989106369,3.9919766903,,100,,0.0945,19,17
frame50.jpg,0.0723619461,0.0724264622,4.0614683151,4.0644031525,,100,,0.095,19,21
frame51.jpg,0.0867470264,0.0868026733,4.1482153416,4.1512058258,,100,,0.0955,26,22
frame52.jpg,0.0761964798,0.0762539387,4.2244118214,4.2274597645,,100,,0.096,33,27
frame53.jpg,0.0898137569,0.089874649,4.3142255783,4.3173344135,,100,,0.0965,47,45
frame54.jpg,0.074456358,0.0745100021,4.3886819363,4.3918444157,,100,,0.097,41,37
frame55.jpg,0.0910108089,0.0910675049,4.4796927452,4.4829119205,,100,,0.0975,36,44
frame56.jpg,0.0897859573,0.089845562,4.5694787025,4.5727574825,,100,,0.098,46,39
frame57.jpg,0.085172987,0.0852286816,4.6546516895,4.6579861641,,100,,0.0985,47,45
frame58.jpg,0.0747677326,0.0748258114,4.7294194221,4.7328119755,,100,,0.099,42,51
frame59.jpg,0.0909581661,0.0910188198,4.8203775883,4.8238307953,,100,,0.0995,36,23
frame60.jpg,0.0740314484,0.0740860939,4.8944090366,4.8979168892,,100,,0.1,43,52
frame61.jpg,0.0905678749,0.0906279087,4.9849769115,4.9885447979,,100,,0.1005,28,30
frame62.jpg,0.0774122238,0.077464962,5.0623891354,5.0660097599,,100,,0.101,35,31
frame63.jpg,0.0859733582,0.0860291958,5.1483624935,5.1520389557,,100,,0.1015,25,35
frame64.jpg,0.0720216274,0.0720829487,5.2203841209,5.2241219044,,100,,0.102,15,18
frame65.jpg,0.0875127792,0.0875751019,5.3078969002,5.3116970062,,100,,0.1025,14,14
frame66.jpg,0.0802602768,0.0803176403,5.388157177,5.3920146465,,100,,0.103,18,16
frame67.jpg,0.0885227203,0.0885787964,5.4766798973,5.4805934429,,100,,0.1035,15,15
frame68.jpg,0.0786604404,0.0787234306,5.5553403378,5.5593168736,,100,,0.104,14,16
frame69.jpg,0.0885276318,0.0885844231,5.6438679695,5.6479012966,,100,,0.1045,18,15
frame70.jpg,0.0746762753,0.0747345924,5.7185442448,5.7226358891,,100,,0.105,16,16
frame71.jpg,0.0916971684,0.0917550087,5.8102414131,5.8143908978,,100,,0.1055,14,17
frame72.jpg,0.0747171879,0.0747827053,5.884958601,5.8891736031,,100,,0.106,12,15
frame73.jpg,0.0886800766,0.0887338638,5.9736386776,5.9779074669,,100,,0.1065,10,12
frame74.jpg,0.0759435177,0.0760001183,6.0495821953,6.0539075851,,100,,0.107,12,8
frame75.jpg,0.0856455326,0.0857137203,6.1352277279,6.1396213055,,100,,0.1075,5,9
frame76.jpg,0.0735514641,0.0736124992,6.208779192,6.2132338047,,100,,0.108,14,11
frame77.jpg,0.087182045,0.0872387409,6.295961237,6.3004725456,,100,,0.1085,8,10
frame78.jpg,0.0763505936,0.0764191151,6.3723118305,6.3768916607,,100,,0.109,15,9
frame79.jpg,0.0882842541,0.0883405209,6.4605960846,6.4652321815,,100,,0.1095,13,13
frame80.jpg,0.0722064495,0.0722631931,6.5328025341,6.5374953747,,100,,0.11,13,16
frame81.jpg,0.0867312431,0.0867991924,6.6195337772,6.6242945671,,100,,0.1105,16,11
frame82.jpg,0.0765391827,0.0765927792,6.6960729599,6.7008873463,,100,,0.111,10,16
frame83.jpg,0.0888572693,0.0889171124,6.7849302292,6.7898044586,,100,,0.1115,15,14
frame84.jpg,0.0787112236,0.0787677765,6.8636414528,6.8685722351,,100,,0.112,12,9
frame85.jpg,0.0859745979,0.0860304832,6.9496160507,6.9546027184,,100,,0.1125,20,16
frame86.jpg,0.0762050629,0.0762605667,7.0258211136,7.0308632851,,100,,0.113,13,19
frame87.jpg,0.0881950855,0.0882551193,7.1140161991,7.1191184044,,100,,0.1135,17,13
frame88.jpg,0.0775112152,0.0775902271,7.1915274143,7.1967086315,,100,,0.114,15,15
frame89.jpg,0.0912329674,0.0912912369,7.2827603817,7.2879998684,,100,,0.1145,17,18
frame90.jpg,0.0771981239,0.0772527695,7.3599585056,7.3652526379,,100,,0.115,16,13
frame91.jpg,0.0922925949,0.0923746586,7.4522511005,7.4576272964,,100,,0.1155,11,14
