#filename,region_count,region_shape_attributes,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame0.jpg,0,,0.8156096935,0.8158631325,0.8156096935,0.8158631325,1.1090200439,100,81.103509426,0.7,0,0
frame1.jpg,0,,0.7142035961,0.7144672871,1.5298132896,1.5303304195,1.1090200439,100,81.103509426,0.705,0,0
frame2.jpg,0,,0.753985405,0.7542669773,2.2837986946,2.2845973969,1.1090200439,100,81.103509426,0.71,0,0
frame3.jpg,0,,0.7460303307,0.7462730408,3.0298290253,3.0308704376,1.1090200439,100,81.103509426,0.715,30,27
frame4.jpg,0,,0.7140645981,0.7143166065,3.7438936234,3.7451870441,1.1090200439,100,81.103509426,0.72,47,49
frame5.jpg,0,,0.7147865295,0.7150526047,4.4586801529,4.4602396488,1.1090200439,100,81.103509426,0.725,37,37
frame6.jpg,0,,0.7910590172,0.7913074493,5.2497391701,5.2515470982,1.1090200439,100,81.103509426,0.73,11,11
frame7.jpg,0,,0.7218527794,0.7221190929,5.9715919495,5.9736661911,1.1090200439,100,81.103509426,0.735,14,15
frame8.jpg,0,,0.7182414532,0.7184772491,6.6898334026,6.6921434402,1.1090200439,100,81.103509426,0.74,2,2
frame9.jpg,0,,0.7139730453,0.7142252922,7.403806448,7.4063687325,1.1090200439,100,81.103509426,0.745,6,6
frame10.jpg,0,,0.7524292469,0.7526779175,8.1562356949,8.1590466499,1.1090200439,100,81.103509426,0.75,9,9
frame11.jpg,0,,0.7181377411,0.7183916569,8.874373436,8.8774383068,1.1090200439,100,81.103509426,0.755,6,6
frame12.jpg,0,,0.7619876862,0.7622337341,9.6363611221,9.6396720409,1.1090200439,100,81.103509426,0.76,4,4
frame13.jpg,0,,0.7220339775,0.7222738266,10.3583950996,10.3619458675,1.1090200439,100,81.103509426,0.765,13,12
frame14.jpg,0,,0.7276360989,0.7279210091,11.0860311985,11.0898668766,1.1090200439,100,81.103509426,0.77,8,9
frame15.jpg,0,,0.7163071632,0.7165763378,11.8023383617,11.8064432144,1.1090200439,100,81.103509426,0.775,3,3
